Files,size
file1,0.0594787827039
file2,0.00227596615816
file3,0.0208685351437
file4,0.0994991070516
file5,0.00460003728135
file6,0.00308172432247
file7,0.0116173490556
file8,0.00252250410395
file9,0.0434959080714
file10,0.0488385657505
file11,0.00211361190117
file12,0.0294071664372
file13,0.0197260422241
file14,0.00238119576917
file15,0.00236315640728
file16,0.03440406968
file17,0.0280722536575
file18,0.00209557253928
file19,0.00274498956724
file20,0.0084815066475
file21,0.00279008797195
file22,0.00190916579978
file23,0.0684623849239
file24,0.00215269718526
file25,0.131939892846
file26,0.00474435217645
file27,0.00360486581721
file28,0.00196629044575
file29,0.00254355002616
file30,0.00222786119312
file31,0.00200838229016
file32,0.00208655285834
file33,0.00244433353578
file34,0.00249243850081
file35,0.0412259550339
file36,0.022257566009
file37,0.00217073654715
file38,0.00229701208036
file39,0.00249845162144
file40,0.0101591673031
file41,0.0359464351214
file42,0.00241727449294
file43,0.00838830327775
file44,0.00226995303753
file45,0.0059890681467
file46,0.00871902491236
file47,0.00278708141164
file48,0.0027179305244
file49,0.00248341881986
file50,0.00239021545011
file51,0.00223688087407
file52,0.0298882160875
file53,0.227569556773
file54,0.0020985790996
file55,0.00203243477267
file56,0.0929237596435
file57,0.00798843075591
file58,0.010913813942
file59,0.0138692627313
file60,0.0106342038328
file61,0.0669109998016
file62,0.110533183406
file63,0.00237518264854
file64,0.0468392031413
file65,0.0023872088898
file66,0.00266080587843
file67,0.00252250410395
file68,0.002140670944
file69,0.00234211048508
file70,0.00543285448849
file71,0.0027179305244
file72,0.0142901811753
file73,0.00528553303308
file74,0.00208655285834
file75,1.0
file76,0.00207152005676
file77,0.0841175444821
file78,0.00413101387227
file79,0.00407088266598
file80,0.0128981437497
file81,0.00244433353578
file82,0.0250927523857
file83,0.0589285821663
file84,0.00576658268342
file85,0.0548787454225
file86,0.00867993962827
file87,0.00599508126733
file88,0.00229400552004
file89,0.0437183935347
file90,0.003746174152
file91,0.0174230170231
file92,0.00534265767906
file93,0.00429336812926
file94,0.0106973415994
file95,0.00234211048508
file96,0.00263975995622
file97,0.0140887416342
file98,0.00203243477267
file99,0.00220080215029
file100,0.0314005159257
file101,0.00207452661708
file102,0.0295995862973
file103,0.0233910392476
file104,0.0318454868523
file105,0.00273897644661
file106,0.00272695020535
file107,0.00237518264854
file108,0.014611883129
file109,0.0031899604938
file110,0.00636188162571
file111,0.00887536604872
file112,0.00941654690535
file113,0.00700528553303
file114,0.00265178619748
file115,0.00320499329537
file116,0.00295244222894
file117,0.00690005592202
file118,0.00151229983825
file119,0.00238119576917
file120,0.0119721231728
file121,0.00200537572984
file122,0.109871740137
file123,0.00392957433119
file124,0.00266681899906
file125,0.114113996741
file126,0.00217374310746
file127,0.00260368123245
file128,0.0123419300915
file129,0.00261270091339
file130,0.110424947235
file131,0.0186406739506
file132,0.101378207248
file133,0.00264276651654
file134,0.00253753690553
file135,0.110533183406
file136,0.00247740569924
file137,0.002140670944
file138,0.0202702296411
file139,0.00283518637667
file140,0.00199334948858
file141,0.00215871030589
file142,0.0024293007342
file143,0.00300054719398
file144,0.00250446474207
file145,0.0166593507032
file146,0.0020985790996
file147,0.00487062770966
file148,0.00200838229016
file149,0.0340192299598
file150,0.00260668779276
