Files,size
file1,0.0157728706625
file2,0.0341267565242
file3,0.0347003154574
file4,0.0197877831947
file5,0.0143389733295
file6,0.0137654143963
file7,0.0177803269286
file8,0.0149125322627
file9,0.0203613421279
file10,0.0324060797247
file11,0.0143389733295
file12,0.0183538858618
file13,0.0114711786636
file14,0.0298250645254
file15,0.0157728706625
file16,0.0146257527961
file17,1.0
file18,0.0151993117293
file19,0.0146257527961
file20,0.0157728706625
file21,0.0215084599943
file22,0.0166332090622
file23,0.0303986234586
file24,0.0172067679954
file25,0.0249498135933
file26,0.0172067679954
file27,0.0206481215945
file28,0.0172067679954
file29,0.0255233725265
file30,0.0255233725265
file31,0.0172067679954
file32,0.0154860911959
file33,0.0137654143963
file34,0.0123315170634
file35,0.0163464295956
file36,0.0143389733295
file37,0.0143389733295
file38,0.0212216805277
file39,0.01261829653
file40,0.0117579581302
file41,0.0146257527961
file42,0.0192142242615
file43,0.0160596501291
file44,0.0137654143963
file45,0.0160596501291
file46,0.0117579581302
file47,0.022368798394
file48,0.0157728706625
file49,0.0169199885288
file50,0.0143389733295
file51,0.0143389733295
file52,0.0143389733295
file53,0.0344135359908
file54,0.0192142242615
file55,0.0151993117293
file56,0.00688270719816
file57,0.0258101519931
file58,0.0169199885288
file59,0.0172067679954
file60,0.0154860911959
file61,0.0169199885288
file62,0.0157728706625
file63,0.0140521938629
file64,0.0200745626613
file65,0.0123315170634
file66,0.0129050759966
file67,0.114998566103
file68,0.0358474333238
file69,0.0114711786636
file70,0.0160596501291
file71,0.0154860911959
file72,0.0157728706625
file73,0.0177803269286
file74,0.0172067679954
file75,0.0157728706625
file76,0.011184399197
file77,0.0217952394609
file78,0.0172067679954
file79,0.0229423573272
file80,0.0278176082592
file81,0.0272440493261
file82,0.0114711786636
file83,0.0206481215945
file84,0.0134786349297
file85,0.0197877831947
file86,0.0172067679954
file87,0.123028391167
file88,0.0367077717235
file89,0.0295382850588
file90,0.0154860911959
file91,0.0163464295956
file92,0.0215084599943
file93,0.0157728706625
file94,0.0137654143963
file95,0.0149125322627
file96,0.0140521938629
file97,0.0146257527961
file98,0.0160596501291
file99,0.0206481215945
file100,0.0369945511901
file101,0.0212216805277
file102,0.0146257527961
file103,0.0166332090622
file104,0.0154860911959
file105,0.0157728706625
file106,0.0154860911959
file107,0.0212216805277
file108,0.0146257527961
file109,0.0172067679954
file110,0.0206481215945
file111,0.0206481215945
file112,0.0129050759966
file113,0.0157728706625
