Files,size
file1,0.00130353701359
file2,0.00130353701359
file3,0.0132012748467
file4,0.0139833970549
file5,0.0294586891033
file6,0.0143414019572
file7,0.0156574130092
file8,0.00130353701359
file9,0.0231293620153
file10,0.00166777893509
file11,0.0136640616716
file12,0.0141455595542
file13,0.00131226884048
file14,0.0237168892243
file15,0.0149875571467
file16,0.00496466728621
file17,0.0257002613311
file18,0.025990906426
file19,0.0140557464776
file20,0.0206856978913
file21,0.0165779970437
file22,0.000945532111293
file23,0.000863203457803
file24,0.0327393612045
file25,0.0264948575777
file26,0.00130353701359
file27,0.0259821745991
file28,0.0231181353807
file29,0.00130353701359
file30,0.00529522930401
file31,0.00130353701359
file32,0.0150748754155
file33,0.000975469803472
file34,0.00812309381101
file35,0.019630394242
file36,0.0137875546519
file37,0.00393680652143
file38,0.00130353701359
file39,0.0152345431072
file40,0.0132673872503
file41,0.0134956621531
file42,0.00787610785054
file43,0.00330936238953
file44,0.00402911440564
file45,0.00130353701359
file46,0.000656134420238
file47,0.000926821053682
file48,0.00545240218795
file49,0.0231256198038
file50,0.00130353701359
file51,0.0268116981532
file52,0.000889398938459
file53,0.00242370566259
file54,0.0263776016166
file55,0.0153829841642
file56,0.00427111075075
file57,0.0231256198038
file58,0.0126910866759
file59,0.0155226933944
file60,0.0184091858819
file61,0.0138711307092
file62,0.0142940006112
file63,0.0136790305177
file64,0.00131226884048
file65,0.030855781405
file66,0.0231293620153
file67,0.000724741631479
file68,0.00279293719945
file69,0.0157671845472
file70,0.0138599040746
file71,0.0247048330662
file72,0.000914347015274
file73,0.0181010771332
file74,0.0162337135836
file75,0.0158906775274
file76,0.0138399456132
file77,0.0050407589205
file78,0.000982954226516
file79,0.0212258237543
file80,0.00130353701359
file81,0.0152308008956
file82,0.000919336630637
file83,0.0251426718143
file84,0.0160690562766
file85,0.0231306094191
file86,0.0143214434957
file87,0.0166366250242
file88,0.00545240218795
file89,0.00122495057162
file90,0.000935552880567
file91,0.0231293620153
file92,0.0223447449995
file93,0.0136952467677
file94,0.00431227507749
file95,0.0141056426313
file96,0.00131226884048
file97,0.0139809022472
file98,0.00225031652872
file99,0.0146669743596
file100,0.00528026045792
file101,0.017507312905
file102,0.0147006542633
file103,0.0150100104158
file104,0.000920584034478
file105,0.0246175147973
file106,0.0139384905166
file107,0.0125526248495
file108,0.0177430722309
file109,0.013269882058
file110,0.0138312137863
file111,0.0270786425751
file112,0.0141068900351
file113,0.01386489369
file114,0.00516674670841
file115,0.00490728670954
file116,0.0138860995553
file117,0.000873182688529
file118,0.0142977428228
file119,0.0149189499354
file120,0.0145260177256
file121,0.0149675986852
file122,0.0150000311851
file123,0.0138698833054
file124,0.0264736517124
file125,0.0284657556461
file126,0.0169547130036
file127,0.000895635957663
file128,0.000900625573026
file129,0.00276175210343
file130,0.00130353701359
file131,0.0150798650309
file132,0.0143364123418
file133,0.0279692889174
file134,0.0294175247766
file135,0.0149251869547
file136,0.0243942295098
file137,0.0252462063331
file138,0.00095675874586
file139,0.0138860995553
file140,0.00466778517211
file141,0.00103908739935
file142,0.0164794521402
file143,0.0169634448304
file144,0.00103409778399
file145,0.0256378911391
file146,0.00640417131844
file147,0.0151372456076
file148,0.076523236015
file149,0.0145871405138
file150,0.0271484971902
file151,0.0244466204711
file152,0.00114262191813
file153,0.00752184515976
file154,0.0136952467677
file155,0.00191850710708
file156,0.0138698833054
file157,0.00474761901792
file158,0.0151709255113
file159,0.0145285125333
file160,0.0148640641665
file161,0.0147979517629
file162,0.000914347015274
file163,0.00130353701359
file164,0.0140806945545
file165,0.013747637729
file166,0.0157185357974
file167,0.00130353701359
file168,0.0591381686864
file169,0.0231293620153
file170,1.0
file171,0.0150174948389
file172,0.00130353701359
file173,0.00092307884216
file174,0.0278931972832
