Files,size
file1,7168
file2,48640
file3,25600
file4,11264
file5,8704
file6,40448
file7,11264
file8,11264
file9,12288
file10,8704
file11,11264
file12,8192
file13,6656
file14,6144
file15,17920
file16,17920
file17,39525
