Files,size
file1,0.0872297861183
file2,0.0844679177376
file3,0.0863939049891
file4,0.0872297861183
file5,0.0301635957796
file6,0.0872297861183
file7,0.029262494626
file8,0.0805587093356
file9,0.0870168227732
file10,0.0296697870233
file11,0.0859906056544
file12,0.0841231833228
file13,0.0869529337697
file14,0.0844652556958
file15,0.0872297861183
file16,0.0872297861183
file17,0.0872297861183
file18,0.0872297861183
file19,0.0872297861183
file20,0.0872297861183
file21,0.0293596591522
file22,0.0872297861183
file23,0.0872297861183
file24,0.0844346422149
file25,0.0854794936264
file26,0.0284958265839
file27,0.0821559344233
file28,0.0844679177376
file29,0.0851573865671
file30,0.0872297861183
file31,0.0868531072018
file32,0.086763928801
file33,0.0872297861183
file34,0.0872297861183
file35,0.0872297861183
file36,0.0863899119263
file37,0.0822144993431
file38,0.0872297861183
file39,0.0872297861183
file40,0.0281231407302
file41,0.0872297861183
file42,0.0844692487585
file43,0.0872297861183
file44,0.0872297861183
file45,0.0872297861183
file46,0.0872297861183
file47,0.0822211544477
file48,0.0867998663655
file49,0.0872297861183
file50,0.0860691358879
file51,0.0847341219189
file52,0.0872297861183
file53,0.0212630589789
file54,0.0870993460694
file55,0.0841591208873
file56,0.0872297861183
file57,0.0844652556958
file58,0.0863939049891
file59,0.0872297861183
file60,0.0863499812992
file61,0.0872297861183
file62,0.0872297861183
file63,0.0872297861183
file64,0.0872297861183
file65,0.0870154917523
file66,0.0872297861183
file67,0.0872297861183
file68,0.0727110100718
file69,0.0300025422499
file70,0.0831954617511
file71,0.0812388610188
file72,0.0840606253402
file73,0.0854661834173
file74,0.0872297861183
file75,0.0820494527508
file76,0.0863939049891
file77,0.0872297861183
file78,0.0872297861183
file79,0.0289137671485
file80,0.0844679177376
file81,0.0872297861183
file82,0.0837757868663
file83,0.0870407811495
file84,0.0872297861183
file85,0.0872297861183
file86,0.082330298162
file87,0.0872297861183
file88,0.0872297861183
file89,0.0872297861183
file90,0.0862661269821
file91,1.0
file92,0.0254371405412
file93,0.0872297861183
file94,0.0872297861183
file95,0.0833192466954
file96,0.0872297861183
file97,0.0872297861183
file98,0.0872297861183
file99,0.0872297861183
file100,0.487100410886
file101,0.0872297861183
file102,0.0872297861183
file103,0.0863965670309
file104,0.0255076846492
file105,0.0872297861183
file106,0.0298920675147
file107,0.0872297861183
file108,0.0872297861183
file109,0.0850788563336
file110,0.0872297861183
file111,0.0872297861183
file112,0.0790200491679
file113,0.0872297861183
