Files,size
file1,0.0127635960044
file2,0.00860155382908
file3,0.031076581576
file4,0.0285793562708
file5,0.0235849056604
file6,0.0316315205327
file7,0.0191453940067
file8,0.00943396226415
file9,0.011653718091
file10,0.0269145394007
file11,0.0277469478357
file12,0.0149833518313
file13,0.0266370699223
file14,0.0180355160932
file15,0.019422863485
file16,0.0321864594895
file17,0.0260821309656
file18,0.019422863485
file19,0.0258046614872
file20,0.0491120976693
file21,0.0105438401776
file22,0.0124861265261
file23,0.0307991120977
file24,0.0227524972253
file25,0.0219200887902
file26,0.0699223085461
file27,0.0432852386238
file28,0.0202552719201
file29,0.0832408435072
file30,0.102663706992
file31,0.0199778024417
file32,0.0177580466149
file33,0.0169256381798
file34,0.026359600444
file35,0.0141509433962
file36,0.0446725860155
file37,0.0266370699223
file38,0.0183129855716
file39,0.0133185349612
file40,0.015538290788
file41,0.0130410654828
file42,0.0255271920089
file43,0.0288568257492
file44,0.0546614872364
file45,0.0163706992231
file46,0.026359600444
file47,0.0208102108768
file48,0.0324639289678
file49,0.0338512763596
file50,0.023307436182
file51,0.0169256381798
file52,0.0402330743618
file53,0.0280244173141
file54,0.160932297447
file55,0.0191453940067
file56,0.00554938956715
file57,0.117647058824
file58,0.061320754717
file59,0.0224750277469
file60,0.00887902330744
file61,0.0174805771365
file62,0.0197003329634
file63,0.0202552719201
file64,0.0255271920089
file65,0.0141509433962
file66,0.0183129855716
file67,0.108213096559
file68,1.0
file69,0.0144284128746
file70,0.027192008879
file71,0.0169256381798
file72,0.117092119867
file73,0.0319089900111
file74,0.038013318535
file75,0.0344062153163
file76,0.0344062153163
file77,0.134572697003
file78,0.0119311875694
file79,0.030244173141
file80,0.0210876803552
file81,0.0305216426193
file82,0.0868479467259
file83,0.0147058823529
file84,0.152885682575
file85,0.0163706992231
file86,0.0160932297447
file87,0.0968368479467
file88,0.0280244173141
file89,0.0344062153163
file90,0.0294117647059
file91,0.011653718091
file92,0.0266370699223
file93,0.0252497225305
file94,0.0377358490566
file95,0.0277469478357
file96,0.0288568257492
file97,0.0158157602664
file98,0.0172031076582
file99,0.0177580466149
file100,0.0316315205327
file101,0.0221975582686
file102,0.0280244173141
file103,0.0294117647059
file104,0.0138734739179
file105,0.268035516093
file106,0.00943396226415
file107,0.0280244173141
file108,0.0327413984462
file109,0.0260821309656
file110,0.0252497225305
file111,0.0172031076582
file112,0.0255271920089
file113,0.00998890122087
file114,0.0141509433962
