Files	Filesizes	Extracted Text	Metadata
9707	98.8297743998	0	1.1702256002
9708	99.0074479175	0	0.9925520825
9709	99.0074479175	0	0.9925520825
9710	99.0019292995	0	0.9980707005
9711	98.9979715406	0	1.0020284594
9712	99.0074479175	0	0.9925520825
9713	99.0074479175	0	0.9925520825
9714	98.9979409746	0	1.0020590254
9715	89.2003435778	8.1034085434	2.6962478788
9716	87.8765673343	1.6446832763	10.4787493894
